year,month,pollutant,emission_Gg
2010,1,CO,0.0692468
2010,2,CO,2.772841216
2010,3,CO,24.519888896
2010,4,CO,82.831212544
2010,5,CO,46.295957504
2010,6,CO,26.869506048
2010,7,CO,8.55010048
2010,8,CO,9.986777088
2010,9,CO,42.618503168
2010,10,CO,325.994020864
2010,11,CO,57.836568576
2010,12,CO,0.047712692
2010,1,PM2.5,0.015332016
2010,2,PM2.5,0.527862528
2010,3,PM2.5,5.067850752
2010,4,PM2.5,15.366771712
2010,5,PM2.5,8.860744704
2010,6,PM2.5,3.464240384
2010,7,PM2.5,1.025235392
2010,8,PM2.5,1.676004992
2010,9,PM2.5,8.246245888
2010,10,PM2.5,61.360738304
2010,11,PM2.5,10.50158592
2010,12,PM2.5,0.010564124
2010,1,OC,0.011397922
2010,2,OC,0.37890016
2010,3,OC,3.663708416
2010,4,OC,10.643539968
2010,5,OC,6.262531072
2010,6,OC,2.047378176
2010,7,OC,0.58764224
2010,8,OC,1.111643776
2010,9,OC,5.793220096
2010,10,OC,42.374176768
2010,11,OC,7.230367232
2010,12,OC,0.007853439
2010,1,BC,0.000536379875
2010,2,BC,0.019677712
2010,3,BC,0.184865152
2010,4,BC,0.571585984
2010,5,BC,0.317116992
2010,6,BC,0.1040974
2010,7,BC,0.031159444
2010,8,BC,0.067737648
2010,9,BC,0.304874336
2010,10,BC,2.217924352
2010,11,BC,0.372891456
2010,12,BC,0.0003695785
2010,1,NOx,0.0024694895
2010,2,NOx,0.107765856
2010,3,NOx,0.969312128
2010,4,NOx,3.294316288
2010,5,NOx,1.669234688
2010,6,NOx,0.551541184
2010,7,NOx,0.174415584
2010,8,NOx,0.45561328
2010,9,NOx,1.706915968
2010,10,NOx,12.37089792
2010,11,NOx,2.027385088
2010,12,NOx,0.001701537
2011,1,CO,1.657784064
2011,2,CO,5.78263296
2011,3,CO,49.086984192
2011,4,CO,156.053045248
2011,5,CO,28.589398016
2011,6,CO,6.169728512
2011,7,CO,6.389113856
2011,8,CO,35.16901376
2011,9,CO,36.76012544
2011,10,CO,588.804718592
2011,11,CO,173.614153728
2011,12,CO,2.386197248
2011,1,PM2.5,0.296592064
2011,2,PM2.5,1.111787904
2011,3,PM2.5,9.102770176
2011,4,PM2.5,26.896633856
2011,5,PM2.5,4.688003072
2011,6,PM2.5,0.877101696
2011,7,PM2.5,0.857562112
2011,8,PM2.5,6.47712768
2011,9,PM2.5,6.465707008
2011,10,PM2.5,119.952490496
2011,11,PM2.5,34.909384704
2011,12,PM2.5,0.49198368
2011,1,OC,0.209225072
2011,2,OC,0.7928992
2011,3,OC,6.185165312
2011,4,OC,17.760477184
2011,5,OC,3.00477568
2011,6,OC,0.538057152
2011,7,OC,0.50911008
2011,8,OC,4.502786048
2011,9,OC,4.30678272
2011,10,OC,86.245318656
2011,11,OC,24.963342336
2011,12,OC,0.3572976
2011,1,BC,0.010497733
2011,2,BC,0.041515712
2011,3,BC,0.335297216
2011,4,BC,1.028506304
2011,5,BC,0.182628784
2011,6,BC,0.039487388
2011,7,BC,0.034934528
2011,8,BC,0.231614944
2011,9,BC,0.238902016
2011,10,BC,4.2519616
2011,11,BC,1.252742016
2011,12,BC,0.017831348
2011,1,NOx,0.058732168
2011,2,NOx,0.231076896
2011,3,NOx,1.97693248
2011,4,NOx,6.607212032
2011,5,NOx,1.230236928
2011,6,NOx,0.313640256
2011,7,NOx,0.262430064
2011,8,NOx,1.271518976
2011,9,NOx,1.444927232
2011,10,NOx,21.429489664
2011,11,NOx,6.515641856
2011,12,NOx,0.091600968
2012,1,CO,4.000426496
2012,2,CO,32.762609664
2012,3,CO,129.191452672
2012,4,CO,206.038007808
2012,5,CO,143.151644672
2012,6,CO,22.977202176
2012,7,CO,10.0381952
2012,8,CO,22.66319872
2012,9,CO,18.647455744
2012,10,CO,54.036221952
2012,11,CO,25.38527744
2012,12,CO,0.033524036
2012,1,PM2.5,0.794479232
2012,2,PM2.5,6.325700096
2012,3,PM2.5,22.658660352
2012,4,PM2.5,33.929383936
2012,5,PM2.5,17.374406656
2012,6,PM2.5,2.919455488
2012,7,PM2.5,1.31701184
2012,8,PM2.5,3.555437824
2012,9,PM2.5,3.251978496
2012,10,PM2.5,11.101817856
2012,11,PM2.5,5.12224
2012,12,PM2.5,0.007422597
2012,1,OC,0.575862016
2012,2,OC,4.52014336
2012,3,OC,15.508810752
2012,4,OC,22.1954048
2012,5,OC,10.02078208
2012,6,OC,1.729487744
2012,7,OC,0.750015744
2012,8,OC,2.29732736
2012,9,OC,2.196877568
2012,10,OC,8.046455296
2012,11,OC,3.699037952
2012,12,OC,0.0055180075
2012,1,BC,0.029116436
2012,2,BC,0.23598952
2012,3,BC,0.81948992
2012,4,BC,1.21756096
2012,5,BC,0.477187392
